iter	Passed	Remaining
0	4	4510
1	5	2799
2	6	2183
3	7	1896
4	8	1736
5	16	2734
6	17	2489
7	18	2298
8	19	2156
9	20	2048
10	21	1945
11	22	1859
12	23	1786
13	24	1732
14	30	1980
15	32	1970
16	33	1914
17	35	1949
18	37	1911
19	38	1884
20	39	1856
21	47	2125
22	49	2098
23	50	2062
24	51	2025
25	53	1994
26	54	1961
27	59	2073
28	61	2059
29	62	2026
30	63	1992
31	64	1959
32	65	1931
33	66	1902
34	67	1872
35	68	1844
36	69	1818
37	71	1799
38	76	1872
39	77	1853
40	78	1826
41	79	1804
42	80	1784
43	81	1763
44	82	1742
45	83	1722
46	84	1704
47	85	1690
48	86	1672
49	91	1731
50	92	1721
51	93	1710
52	95	1704
53	96	1692
54	97	1680
55	98	1665
56	99	1648
57	100	1634
58	101	1620
59	106	1663
60	107	1651
61	108	1639
62	109	1628
63	110	1615
64	111	1603
65	112	1592
66	113	1580
67	114	1568
68	115	1556
69	116	1545
70	119	1567
71	121	1566
72	122	1555
73	123	1544
74	124	1533
75	125	1523
76	126	1514
77	127	1505
78	128	1495
79	129	1487
80	130	1479
81	136	1532
82	137	1519
83	138	1513
84	139	1505
85	141	1505
86	142	1497
87	143	1489
88	144	1482
89	145	1476
90	146	1467
91	150	1488
92	152	1485
93	153	1478
94	154	1471
95	155	1462
96	156	1456
97	157	1449
98	158	1442
99	159	1436
100	160	1429
101	161	1422
102	162	1419
103	164	1420
104	165	1414
105	166	1407
106	167	1400
107	168	1394
108	169	1388
109	170	1383
110	172	1377
111	173	1374
112	174	1370
113	179	1391
114	180	1387
115	181	1381
116	181	1373
117	182	1366
118	183	1360
119	184	1354
120	185	1348
121	186	1341
122	187	1337
123	188	1331
124	189	1326
125	190	1324
126	192	1322
127	194	1324
128	195	1319
129	196	1314
130	197	1309
131	198	1305
132	199	1300
133	200	1295
134	201	1290
135	202	1286
136	206	1299
137	208	1299
138	209	1295
139	210	1290
140	211	1286
141	211	1280
142	213	1277
143	214	1274
144	215	1272
145	216	1268
146	220	1278
147	221	1274
148	222	1270
149	223	1266
150	224	1262
151	225	1259
152	226	1256
153	228	1253
154	229	1251
155	230	1249
156	232	1248
157	233	1246
158	235	1244
159	237	1249
160	238	1244
161	240	1242
162	245	1261
163	246	1258
164	248	1255
165	249	1253
166	250	1250
167	251	1247
168	253	1246
169	254	1243
170	255	1240
171	261	1259
172	263	1257
173	264	1254
174	265	1250
175	266	1246
176	267	1243
177	268	1240
178	269	1237
179	271	1235
180	275	1245
181	277	1245
182	278	1244
183	283	1256
184	284	1253
185	291	1276
186	292	1272
187	293	1268
188	295	1265
189	296	1264
190	298	1264
191	299	1262
192	301	1259
193	302	1256
194	307	1270
195	309	1270
196	311	1268
197	315	1277
198	316	1274
199	318	1272
200	322	1280
201	325	1284
202	326	1281
203	327	1279
204	329	1278
205	331	1276
206	337	1293
207	339	1291
208	340	1289
209	342	1288
210	343	1285
211	345	1284
212	356	1318
213	358	1314
214	359	1311
215	360	1308
216	361	1305
217	363	1302
218	364	1299
219	369	1308
220	371	1307
221	372	1306
222	374	1305
223	375	1302
224	377	1298
225	378	1295
226	382	1303
227	384	1302
228	385	1298
229	386	1294
230	388	1292
231	389	1289
232	390	1286
233	392	1284
234	393	1281
235	394	1278
236	396	1275
237	397	1272
238	399	1270
239	400	1267
240	401	1264
241	402	1262
242	408	1271
243	409	1269
244	411	1266
245	412	1263
246	413	1260
247	414	1257
248	416	1254
249	417	1251
250	418	1249
251	424	1259
252	425	1256
253	426	1252
254	427	1249
255	428	1246
256	430	1243
257	431	1240
258	432	1237
259	433	1233
260	437	1239
261	439	1238
262	440	1235
263	441	1231
264	442	1228
265	443	1224
266	444	1221
267	446	1218
268	447	1215
269	448	1212
270	450	1212
271	452	1211
272	455	1212
273	456	1210
274	458	1208
275	459	1206
276	461	1203
277	462	1200
278	463	1196
279	466	1200
280	467	1197
281	468	1193
282	469	1190
283	470	1186
284	471	1183
285	472	1179
